track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
23zJcKwLf5CeaKVbFhrWgF,A Palé,ROSALÍA,74,6B2RRiDJFXHojfPxKja5Mx,A Palé,2019-11-07,Ultimate Indie Presents... Best Tracks of 2019,37i9dQZF1DWTc5QDlvD7t0,r&b,hip pop,0.63,0.409,0,-8.83,0,0.0903,0.119,0.629,0.121,0.332,122.848,143773
48K6PkRH2xYoQ4UHDf0Tjm,Ocean,SZY,23,1827BzNwLnISYO0kMxmUmV,Ocean,2019-08-02,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.522,0.67,1,-8.511,1,0.0965,0.507,5.17e-6,0.179,0.469,160.034,163516
35IvqtoxYL3H9qB3hSQUES,Nights (feat. Ralph Larenzo),Axollo,14,71v2qoMKmRuzI7jlIUKgr0,HELDEEP Vibes Pt. 3 - EP,2018-03-23,Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house,0.701,0.625,8,-4.825,1,0.0573,0.405,0,0.0936,0.348,117.966,266568
3HCDGtLZabH3umLgwCBpDB,Send Me An Angel,Real Life,55,1sGd8pGtXBuBA728U5FSgf,Heartland,1983-01-01,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",2nRWtTI9a2LWjJ9Wy3JZs5,pop,electropop,0.605,0.926,7,-4.831,0,0.0372,0.0714,2.18e-5,0.0953,0.49,129.844,236547
1D2L6MefbXon28PzIk9I3r,92 Explorer,Post Malone,74,6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.798,0.733,7,-4.811,0,0.0476,0.265,1.25e-6,0.114,0.861,146.046,211427
4OX6I7otVz7ANxPh6uCG9B,Just A Dream - Flaremode & Adler Remix,Nipri,4,0HNbCxMp3KmtvUx5j9WowM,Just A Dream (The Remixes Pt. 1),2020-01-17,Brand New EDM,2dNitDEHM9FpUGEHWc7zyW,edm,progressive electro house,0.744,0.753,5,-5.283,1,0.0316,0.3,7.65e-6,0.0652,0.855,125.047,176640
7n1940b6kHcaEewFSZXnXa,Better Not (with Wafia),Louis The Child,73,21R2CiMVZH2MY514Sq2DIG,Kids At Play- EP,2018-10-26,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",69yb02k0ZOmukYaxJXwp76,pop,indie poptimism,0.783,0.537,9,-2.921,1,0.0795,0.278,0,0.229,0.393,113.988,222866
6kotXaSQaGYxE62hVpdHWu,Werewolves of London - 2007 Remaster,Warren Zevon,61,03WJAI8NnJHvCNqnlLw8kg,Excitable Boy,1978-06-01,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.75,0.62,7,-8.72,1,0.0257,0.0932,0.0135,0.0612,0.93,103.538,209467
67d8DiMwQJLwPRdKhVjmS4,Tease,Ralph,35,5hiyX4hWsvBpf8JsdTSOhh,Tease,2017-02-15,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.68,0.804,7,-5.076,1,0.0288,0.155,0.00331,0.275,0.623,130.073,211233
3hQCHzkE5oSA3F1xM8bpcM,Hustlin',Rick Ross,67,42T8qfRs7jdpInsSk6nDJk,Port Of Miami,2006-01-01,The Sound of Southern Hip Hop,18jT9NMRZifv6cMtK2jWD4,rap,southern hip hop,0.502,0.652,9,-7.224,1,0.3,0.0849,0,0.0675,0.649,136.04,254093
3Gwq0zKnMWluOEPKh93BeC,Lost At Sea,Zedd,51,7juWTdmjo0vYywWu8HiQxs,Clarity,2012-01-01,♥ EDM LOVE 2020,6jI1gFr6ANFtT8MmTvA2Ux,edm,progressive electro house,0.567,0.796,6,-3.534,1,0.0364,0.0247,0,0.124,0.305,127.983,225840
34ZngZgo8xicbt1EE8Ob8Z,Porno,Rich Music LTD,77,1faqBAWocW4ZOe0OFjudGw,The Academy,2019-10-11,El Ritmo,37i9dQZF1DWVOLXBOylBUZ,latin,reggaeton,0.535,0.71,1,-2.978,0,0.324,0.428,0,0.141,0.523,92.009,212653
3BViBwNtaG9ObwJCaBKaWN,Clockwise,Alexander Lewis,39,17My8qJrxLwS53OR6VmU5Y,OMNI.,2018-06-01,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.608,0.938,11,-2.681,0,0.287,0.0332,0,0.31,0.436,134.198,218624
